Data;Descrição;Tipo;Valor;;;;;Data;Descrição;Fornecedor;Valor
30/12/2022;Pago Fatura Celpe 12/2022 - Consumo Energia ;NEOENERGIA;811,59;;;;;;;;
30/12/2022;NF-e 214316 - Armazém Coral - Construção IASd Graç;CONSTRUÇÃO MATERIAL;1344,6;;;;;;;;
30/12/2022;Pago Fatura Compesa 11/2022 - Consumo Água ;COMPESA;93,1;;;;;;;;
30/12/2022;Pago Fatura Compesa 12/2022 - Consumo Água ;COMPESA;94,96;;;;;;;;
30/12/2022;NFS-e 14 Project - Construção IASD Graças ;CONSTRUÇÃO MÃO DE OBRA;54644,81;;;;;;;;
30/12/2022;NFS-e 447 - Fundações  Especiais P/ Fundações;CONSTRUÇÃO MÃO DE OBRA;50500;;;;;;;;
30/12/2022;NF-e 215788 - Armazem Coral - Material Construção ;CONSTRUÇÃO MATERIAL;2724,3;;;;;;;;
31/01/2023;Pago fatura Celpe 08/2022 - IASD Graças ;NEOENERGIA;110,45;;;;;;;;
31/01/2023;Fatura Nº 3741- Express Locação - Construção IASD ;CONSTRUÇÃO MÃO DE OBRA;390;;;;;;;;
08/02/2023;NF-e 215810 - Armazém Coral - Material P/ IASD Gra;CONSTRUÇÃO MATERIAL;765;;;;;;;;
08/02/2023;NF-e 215838 - Armazém Coral - Material P/ IASD Gra;CONSTRUÇÃO MATERIAL;1390;;;;;;;;
15/02/2023;Pago Boleto Remembramento Imóvel - IASD Graças ;TERRENO;5925,72;;;;;;;;
15/02/2023;Pago Fatura Compesa 01/2023 - IASD Graças ;COMPESA;93,68;;;;;;;;
15/02/2023;Pago Fatura Compesa 01/2023 - IASD Graças ;COMPESA;102;;;;;;;;
28/02/2023;4493 - Pago Boleto Legalização Terreno - IASD Graç;TERRENO;54,52;;;;;;;;
28/02/2023;4493 - Pago Boleto Legalização Terreno - IASD Graç;TERRENO;69,64;;;;;;;;
28/02/2023;4493 - Pago Boleto Legalização Terreno - IASD Graç;TERRENO;69,64;;;;;;;;
28/02/2023;4493 - Pago Boleto Legalização Terreno - IASD Graç;TERRENO;69,64;;;;;;;;
28/02/2023;4493 - Pago Boleto Legalização Terreno - IASD Graç;TERRENO;54,52;;;;;;;;
28/02/2023;4493 - Pago Boleto Legalização Terreno - IASD Graç;TERRENO;54,52;;;;;;;;
28/02/2023;4493 - Pago Boleto Legalização Terreno - IASD Graç;TERRENO;54,52;;;;;;;;
28/02/2023;4493 - Pago Boleto Legalização Terreno - IASD Graç;TERRENO;69,64;;;;;;;;
28/02/2023;4493 - Pago Boleto Legalização Terreno - IASD Graç;TERRENO;54,52;;;;;;;;
30/03/2023;Pago Fatura Compesa 03/2023 - Consumo Àgua IASD Gr;COMPESA;93,1;;;;;;;;
30/03/2023;Pago Fatura Compesa 03/2023 - Consumo Àgua IASD Gr;COMPESA;102;;;;;;;;
30/03/2023;Pago Fatura Celpe 02/2023 - IASD Graças ;NEOENERGIA;737,46;;;;;;;;
30/03/2023;NFC-e 137814 - Armazém Coral - Construção IASD Gra;CONSTRUÇÃO MATERIAL;46,9;;;;;;;;
18/01/2023;NFS-e 26 - Construtora Project LTDA;CONSTRUÇÃO MÃO DE OBRA;52631,57;;;;;;;;
30/03/2023;NFS-e 275 - A C P  da Silva - Projeto de Combate a;CONSTRUÇÃO MÃO DE OBRA;1750;;;;;;;;
17/04/2023;NFC-e 266210 - Armazém Coral - Material P/ Graças;CONSTRUÇÃO MATERIAL;52,74;;;;;;;;
17/04/2023;Pago Fatura Compesa 03/2023 - Consumo Água ;COMPESA;93,1;;;;;;;;
17/04/2023;Pago Fatura Compesa 03/2023 - Consumo Água ;COMPESA;102;;;;;;;;
17/04/2023;NFC-e 146126 - Armazém Coral - Reforma Graças ;CONSTRUÇÃO MATERIAL;84,1;;;;;;;;
17/04/2023;Pago Celpe Per. 04/2023 - Consumo de Energia - IAS;NEOENERGIA;400,56;;;;;;;;
16/05/2023;Pago Fatura Compesa 04/2023 - Consumo Água ;COMPESA;113,58;;;;;;;;
16/05/2023;Pago Fatura Compesa 04/2023 - Consumo Água ;COMPESA;93,1;;;;;;;;
31/05/2023;Pago Fatura Celpe 03/2023 - Energia Graças ;NEOENERGIA;0,45;;;;;;;;
31/05/2023;Pago Fatura Celpe 02/2023 - Energia Graças ;NEOENERGIA;0,45;;;;;;;;
31/05/2023;Pago Fatura Celpe 01/2023 - Energia Graças ;NEOENERGIA;107,43;;;;;;;;
31/05/2023;Pago Fatura Celpe 12/2022 - Energia Graças ;NEOENERGIA;108,27;;;;;;;;
31/05/2023;Pago Fatura Celpe 11/2022 - Energia Graças ;NEOENERGIA;170,07;;;;;;;;
31/05/2023;Pago Fatura Celpe 10/2022 - Energia Graças ;NEOENERGIA;126,61;;;;;;;;
31/05/2023;Pago Fatura Celpe 07/2022 - Energia Graças ;NEOENERGIA;117,59;;;;;;;;
31/05/2023;Pago Fatura Celpe 06/2022 - Energia Graças ;NEOENERGIA;122,36;;;;;;;;
31/05/2023;Pago Fatura Celpe 05/2022 - Energia Graças ;NEOENERGIA;137,5;;;;;;;;
31/05/2023;Frete Materiais P/ Construção da IASD Graças ;CONSTRUÇÃO MÃO DE OBRA;251,66;;;;;;;;
30/06/2023;4493 - Pago Fatura Compesa 05/2023 - Consumo Água;COMPESA;207,08;;;;;;;;
30/06/2023;Recibo 1-Operador Nacional-Taxa de Emolumentos do;TERRENO;109,04;;;;;;;;
23/08/2023;Pago Fatura Celpe 06/2023 - Consumo Energia;NEOENERGIA;94,28;;;;;;;;
23/08/2023;Pago Cartório Imóvel 07/2023 - IASD Graças;TERRENO;54,52;;;;;;;;
23/08/2023;Pago Projetos de Revalidação - IASD Graças;TERRENO;1845,84;;;;;;;;
23/08/2023;Pagto Boleto RRT - IASD Graças;TERRENO;115,18;;;;;;;;
23/08/2023;Cristal Glass Industria - Vidros;CONSTRUÇÃO MATERIAL;85503,02;;;;;;;;
